symbol	ensg	cell_type	baseMean	log2FoldChange	pvalue	padj
SH2D3C	ENSG00000095370	Poly	573.9	-3.9	6.306e-9	1.458e-7
FAM83D	ENSG00000101447	Poly	4522.9	1.4	7.873e-9	1.468e-7
LIMA1	ENSG00000050405	Poly	755.6	1.2	8.044e-9	1.497e-7
PDLIM5	ENSG00000163110	Poly	1310	2.2	8.103e-9	1.506e-7
EEF1G	ENSG00000254772	Poly	101260.7	-1	8.159e-9	1.514e-7
NEIL2	ENSG00000154328	Poly	431.1	1.9	6.699e-9	1.537e-7
S100PBP	ENSG00000116497	Poly	1508.3	-0.9	8.203e-9	1.539e-7
PRKCSH	ENSG00000130175	Poly	8914.6	-1.1	8.533e-9	1.54e-7
PUS3	ENSG00000110060	Poly	384.9	1.3	6.778e-9	1.548e-7
SYNJ2	ENSG00000078269	Poly	462	-2.1	6.221e-9	1.561e-7
NDUFB8	ENSG00000166136	Poly	2813.3	0.9	6.926e-9	1.591e-7
C2CD2	ENSG00000157617	Poly	346.9	1.9	5.72e-9	1.601e-7
ECI2	ENSG00000198721	Poly	2620.2	0.8	8.874e-9	1.627e-7
IL1RN	ENSG00000136689	Poly	289.4	3.6	6.24e-9	1.652e-7
HIPK3	ENSG00000110422	Poly	5421.8	1.3	8.811e-9	1.657e-7
CCDC6	ENSG00000108091	Poly	2823.4	1.4	9.265e-9	1.691e-7
YBX1	ENSG00000065978	Poly	52560.1	0.9	9.646e-9	1.717e-7
NEURL1B	ENSG00000214357	Poly	617.1	3.5	9.303e-9	1.717e-7
CU633967.1	ENSG00000274333	Poly	219	-3.3	7.802e-9	1.756e-7
SYNE1	ENSG00000131018	Poly	495.8	2.2	7.693e-9	1.901e-7
OXA1L	ENSG00000155463	Poly	4297	-1	1.02e-8	1.901e-7
LONP1	ENSG00000196365	Poly	8619	-1.6	1.104e-8	1.95e-7
EXOSC9	ENSG00000123737	Poly	2668	-1.5	1.087e-8	1.963e-7
E2F1	ENSG00000101412	Poly	2132.1	-1.8	1.115e-8	2.011e-7
ZNF337	ENSG00000130684	Poly	333.8	2	7.432e-9	2.04e-7
SLC33A1	ENSG00000169359	Poly	987.9	-0.8	1.17e-8	2.103e-7
MED29	ENSG00000063322	Poly	2091.1	0.8	1.513e-8	2.139e-7
NBPF14	ENSG00000270629	Poly	553.8	2.2	9.897e-9	2.198e-7
METTL14	ENSG00000145388	Poly	992.2	1	1.249e-8	2.208e-7
PDIK1L	ENSG00000175087	Poly	2194.8	-1.2	1.261e-8	2.254e-7
SLC16A1	ENSG00000155380	Poly	13329.7	1.8	1.265e-8	2.258e-7
PGD	ENSG00000142657	Poly	11796.1	-1.9	1.27e-8	2.329e-7
MPP6	ENSG00000105926	Poly	417.7	1.4	8.858e-9	2.373e-7
NBPF14	ENSG00000270629	Poly	553.8	2.2	9.897e-9	2.397e-7
AC114491.1	ENSG00000224550	Poly	58.5	3.6	3.972e-9	2.47e-7
TSPYL4	ENSG00000187189	Poly	950.1	1	1.408e-8	2.495e-7
ZSCAN9	ENSG00000137185	Poly	260.8	-2.7	1.053e-8	2.538e-7
S100A3	ENSG00000188015	Poly	38	5.7	5.174e-9	2.564e-7
NIPAL3	ENSG00000001461	Poly	1499.3	1.5	1.473e-8	2.566e-7
NBPF14	ENSG00000270629	Poly	553.8	2.2	9.897e-9	2.625e-7
LINC00570	ENSG00000224177	Poly	180.4	3.5	9.944e-9	2.666e-7
PIK3AP1	ENSG00000155629	Poly	1675.6	1.9	1.523e-8	2.675e-7
KLHL2	ENSG00000109466	Poly	352	-1.3	1.075e-8	2.726e-7
CD83	ENSG00000112149	Poly	1097.1	3.3	1.581e-8	2.769e-7
HMOX1	ENSG00000100292	Poly	41733.6	3.1	1.596e-8	2.791e-7
TRIM35	ENSG00000104228	Poly	539.8	-1.5	1.084e-8	2.85e-7
PATZ1	ENSG00000100105	Poly	1277.2	-1.8	1.707e-8	2.939e-7
PTGES3	ENSG00000110958	Poly	27242.1	1.2	1.725e-8	3.004e-7
AC004987.2	ENSG00000233225	Poly	461.3	1.5	1.203e-8	3.026e-7
AMD1	ENSG00000123505	Poly	8744.1	1.4	1.791e-8	3.105e-7
MBOAT1	ENSG00000172197	Poly	639	-1.4	1.789e-8	3.105e-7
CEBPB	ENSG00000172216	Poly	2489.2	-2.4	1.816e-8	3.145e-7
APBB1IP	ENSG00000077420	Poly	1204.1	2.7	1.822e-8	3.15e-7
ATP6V1D	ENSG00000100554	Poly	6740.8	1.5	1.825e-8	3.15e-7
BTN3A2	ENSG00000186470	Poly	922.2	2.1	1.851e-8	3.191e-7
SP100	ENSG00000067066	Poly	2580.7	1.4	2.354e-8	3.192e-7
TIMM17A	ENSG00000134375	Poly	1778.4	0.9	1.875e-8	3.223e-7
TTC21B	ENSG00000123607	Poly	1904.6	1.4	1.915e-8	3.335e-7
CDC42P6	ENSG00000237350	Poly	142.2	3	1.441e-8	3.367e-7
CHRAC1	ENSG00000104472	Poly	1467	-1.2	1.97e-8	3.372e-7
PACRGL	ENSG00000163138	Poly	318.8	1.9	1.39e-8	3.432e-7
APBB1	ENSG00000166313	Poly	98.1	-3.2	8.936e-9	3.432e-7
GAPDH	ENSG00000111640	Poly	64082	-1.1	2.067e-8	3.443e-7
PDE4D	ENSG00000113448	Poly	840	2.6	2.023e-8	3.443e-7
GNG10	ENSG00000242616	Poly	708.4	1.5	2.004e-8	3.454e-7
TP53BP1	ENSG00000067369	Poly	1853.7	-1.1	2.078e-8	3.524e-7
FGFRL1	ENSG00000127418	Poly	274.1	2.3	1.364e-8	3.524e-7
MED11	ENSG00000161920	Poly	415.2	1.2	1.545e-8	3.565e-7
CRYM	ENSG00000103316	Poly	111.7	-2.7	7.08e-9	3.687e-7
VWCE	ENSG00000167992	Poly	393.7	2.3	1.466e-8	3.726e-7
LONP2	ENSG00000102910	Poly	2714.9	-1	2.237e-8	3.77e-7
PCNX4	ENSG00000126773	Poly	2235.8	0.8	2.253e-8	3.794e-7
AC023512.1	ENSG00000256211	Poly	17.8	2.8	6.528e-9	3.847e-7
PPM1K	ENSG00000163644	Poly	1121.7	1.4	2.372e-8	3.933e-7
RPL7L1	ENSG00000146223	Poly	6821.6	1	2.349e-8	3.937e-7
AC005944.1	ENSG00000267469	Poly	923.7	1.3	2.434e-8	4.075e-7
KLHL6	ENSG00000172578	Poly	1241.1	-1.9	2.46e-8	4.113e-7
ZNF175	ENSG00000105497	Poly	1918.7	1.1	2.477e-8	4.135e-7
DOCK9	ENSG00000088387	Poly	1191.7	-2	2.533e-8	4.165e-7
IPPK	ENSG00000127080	Poly	437.6	1.1	1.732e-8	4.165e-7
SPRED2	ENSG00000198369	Poly	806.8	-1.9	2.534e-8	4.165e-7
BAHD1	ENSG00000140320	Poly	1547.3	-1.2	2.521e-8	4.185e-7
SESN1	ENSG00000080546	Poly	2253.7	1.4	2.539e-8	4.21e-7
SEC24D	ENSG00000150961	Poly	607.7	1.9	2.51e-8	4.216e-7
ZNF16	ENSG00000170631	Poly	231.4	-1.4	2.079e-8	4.259e-7
UIMC1	ENSG00000087206	Poly	8066.3	1.4	2.524e-8	4.287e-7
CXCL3	ENSG00000163734	Poly	106	-4.7	9.896e-9	4.353e-7
INTS12	ENSG00000138785	Poly	839.3	0.8	2.668e-8	4.393e-7
JUNB	ENSG00000171223	Poly	7078.9	-1.5	2.977e-8	4.897e-7
PRDM16	ENSG00000142611	Poly	96.6	-8	1.3e-8	4.955e-7
FCF1	ENSG00000119616	Poly	2533	1.2	3.051e-8	5.005e-7
UTP15	ENSG00000164338	Poly	668.3	1.3	3.069e-8	5.098e-7
RRP15	ENSG00000067533	Poly	1127.9	1.9	3.144e-8	5.142e-7
GNL2	ENSG00000134697	Poly	2337.6	0.8	4.016e-8	5.162e-7
RPL23AP82	ENSG00000184319	Poly	321.8	1.1	2.554e-8	5.162e-7
PRKD3	ENSG00000115825	Poly	668.6	-2	3.256e-8	5.239e-7
SH3PXD2A	ENSG00000107957	Poly	660.6	1.7	3.273e-8	5.326e-7
TSC22D2	ENSG00000196428	Poly	2940.2	-1	3.293e-8	5.351e-7
NDFIP1	ENSG00000131507	Poly	5568.3	1.1	3.31e-8	5.371e-7
SDCBP	ENSG00000137575	Poly	9934.7	1.4	3.401e-8	5.512e-7
MYLK4	ENSG00000145949	Poly	139.8	3.6	1.123e-8	5.599e-7
IVNS1ABP	ENSG00000116679	Poly	5164.8	1.2	2.801e-8	5.654e-7
RPS23	ENSG00000186468	Poly	45018.4	-1.2	3.506e-8	5.658e-7
TTC4	ENSG00000243725	Poly	1102	1.1	3.53e-8	5.69e-7
HMGA1	ENSG00000137309	Poly	27731.3	-0.9	3.493e-8	5.784e-7
FAM219A	ENSG00000164970	Poly	261.9	-1.4	2.498e-8	5.808e-7
NECAB3	ENSG00000125967	Poly	406.7	-1.7	2.418e-8	5.836e-7
GLCE	ENSG00000138604	Poly	1480.5	-1.4	3.639e-8	5.836e-7
RPS7	ENSG00000171863	Poly	38535.1	-0.9	3.682e-8	5.896e-7
MRAP2	ENSG00000135324	Poly	14.9	-7.7	1.162e-8	6.102e-7
PTGES3P3	ENSG00000229204	Poly	30.1	4.3	1.454e-8	6.197e-7
BCAT2	ENSG00000105552	Poly	626.2	-2.3	3.852e-8	6.231e-7
IL20RB	ENSG00000174564	Poly	53.9	-3.7	1.116e-8	6.234e-7
CARD8-AS1	ENSG00000268001	Poly	245.6	1.1	2.635e-8	6.311e-7
HSPH1	ENSG00000120694	Poly	10210.8	1.5	3.999e-8	6.354e-7
ARPC1B	ENSG00000130429	Poly	2477.1	-1.9	4.17e-8	6.71e-7
SMIM24	ENSG00000095932	Poly	2006.7	3	4.245e-8	6.718e-7
HNRNPA1	ENSG00000135486	Poly	84211.6	-1	4.342e-8	6.718e-7
SEMA4D	ENSG00000187764	Poly	2148.1	1.6	4.192e-8	6.72e-7
PIEZO1	ENSG00000103335	Poly	8752.3	-1.9	4.292e-8	6.774e-7
BOD1	ENSG00000145919	Poly	564.5	1.5	3.161e-8	6.79e-7
MFSD14C	ENSG00000196312	Poly	1005.4	-1.3	4.32e-8	6.802e-7
TMEM120B	ENSG00000188735	Poly	2709.6	-1.7	5.54e-8	6.852e-7
AC115837.1	ENSG00000253341	Poly	192.2	1.6	3.016e-8	6.852e-7
SPHK1	ENSG00000176170	Poly	810	-1.4	4.402e-8	6.903e-7
ATP6V1C1	ENSG00000155097	Poly	7835.7	1.1	4.411e-8	6.909e-7
IBTK	ENSG00000005700	Poly	1686.9	1.6	4.378e-8	6.945e-7
RIPK2	ENSG00000104312	Poly	1907.5	1.7	4.45e-8	6.952e-7
ZMYND19	ENSG00000165724	Poly	655	-1.4	4.409e-8	6.976e-7
EIF2B3	ENSG00000070785	Poly	945.3	1.2	4.607e-8	7.082e-7
GOT1	ENSG00000120053	Poly	2962.9	-1.3	3.642e-8	7.082e-7
ZFAS1	ENSG00000177410	Poly	4532.3	-1.3	4.575e-8	7.11e-7
INTU	ENSG00000164066	Poly	248.8	1.9	3.413e-8	7.219e-7
CEP250	ENSG00000126001	Poly	2459.6	1.2	4.621e-8	7.266e-7
SCLY	ENSG00000132330	Poly	735.8	-1.1	4.649e-8	7.299e-7
DDX27	ENSG00000124228	Poly	2768.4	0.8	4.591e-8	7.302e-7
RUSC1	ENSG00000160753	Poly	758.6	-1.3	4.806e-8	7.422e-7
CCDC71L	ENSG00000253276	Poly	7579	-1.3	4.933e-8	7.608e-7
AACS	ENSG00000081760	Poly	1615.7	-1.6	4.952e-8	7.628e-7
NAT10	ENSG00000135372	Poly	4660.5	1.2	5.217e-8	8.016e-7
LRRC8A	ENSG00000136802	Poly	16398	1.5	5.065e-8	8.016e-7
LZTS3	ENSG00000088899	Poly	127	-3.3	2.338e-8	8.057e-7
PGLS	ENSG00000130313	Poly	1062.4	-1.4	5.184e-8	8.057e-7
MIDN	ENSG00000167470	Poly	2618.4	-1.5	5.279e-8	8.081e-7
XBP1	ENSG00000100219	Poly	5842.6	-2	5.286e-8	8.082e-7
LMLN	ENSG00000185621	Poly	513.7	1.2	4.279e-8	8.093e-7
AGO4	ENSG00000134698	Poly	760.9	-1.7	5.328e-8	8.126e-7
NXN	ENSG00000167693	Poly	59.8	-3.8	1.529e-8	8.163e-7
APOL6	ENSG00000221963	Poly	2319.2	-2	5.699e-8	8.669e-7
PCED1B-AS1	ENSG00000247774	Poly	34.1	3.3	1.628e-8	8.669e-7
HELB	ENSG00000127311	Poly	429.3	2.3	3.957e-8	8.684e-7
CCDC88C	ENSG00000015133	Poly	1304.8	1.8	5.865e-8	8.78e-7
RPSA	ENSG00000168028	Poly	64420.5	-1.3	5.918e-8	8.957e-7
XPO7	ENSG00000130227	Poly	110496	1.5	6.084e-8	9.197e-7
CARNS1	ENSG00000172508	Poly	57.3	2.9	2.626e-8	9.197e-7
SKAP1	ENSG00000141293	Poly	163.2	2	4.227e-8	9.205e-7
AC113935.1	ENSG00000226084	Poly	956.2	1.5	6.105e-8	9.205e-7
CD55	ENSG00000196352	Poly	7614.5	1.9	6.141e-8	9.238e-7
FKBP1A	ENSG00000088832	Poly	4918.6	0.9	6.19e-8	9.299e-7
POLR1A	ENSG00000068654	Poly	3025.4	0.9	5.04e-8	9.444e-7
POLD1	ENSG00000062822	Poly	4822.8	-1.6	6.369e-8	9.545e-7
BTBD9	ENSG00000183826	Poly	148.5	-3	4.221e-8	9.629e-7
TTC23	ENSG00000103852	Poly	137.3	-1.5	2.323e-8	9.73e-7
TTC1	ENSG00000113312	Poly	2742.7	1.2	6.517e-8	9.73e-7
EFL1	ENSG00000140598	Poly	1313.1	0.9	6.634e-8	9.894e-7
SEMA6C	ENSG00000143434	Poly	216.9	-1.4	4.392e-8	9.97e-7
SAMD9	ENSG00000205413	Poly	5037.1	1.9	6.791e-8	1.039e-6
SLC4A2	ENSG00000164889	Poly	2298.7	-1.4	7.037e-8	1.046e-6
HS3ST3B1	ENSG00000125430	Poly	43.3	-6.3	3.14e-8	1.048e-6
STXBP1	ENSG00000136854	Poly	699.6	1.4	7.159e-8	1.061e-6
P2RY1	ENSG00000169860	Poly	1289.2	1.4	7.223e-8	1.069e-6
MBD2	ENSG00000134046	Poly	1577.5	-1.1	7.674e-8	1.135e-6
ZNF622	ENSG00000173545	Poly	1154.1	1.4	7.759e-8	1.146e-6
RNF182	ENSG00000180537	Poly	313.3	4.1	5.18e-8	1.164e-6
EAF1	ENSG00000144597	Poly	2102.7	1.1	7.931e-8	1.168e-6
NR3C1	ENSG00000113580	Poly	15998.5	1	8.203e-8	1.179e-6
DCAF11	ENSG00000100897	Poly	29629.1	0.9	8.14e-8	1.193e-6
ORMDL3	ENSG00000172057	Poly	4875.1	1.1	8.137e-8	1.193e-6
MTRNR2L12	ENSG00000269028	Poly	261.3	2.6	5.334e-8	1.193e-6
M6PR	ENSG00000003056	Poly	6194.2	0.6	8.507e-8	1.245e-6
ARL8A	ENSG00000143862	Poly	633	1.9	8.524e-8	1.245e-6
BCKDHA	ENSG00000248098	Poly	1633.2	-1.1	8.401e-8	1.245e-6
TMPRSS13	ENSG00000137747	Poly	26.4	3	3.269e-8	1.273e-6
TBK1	ENSG00000183735	Poly	1571.7	1.3	8.733e-8	1.273e-6
ATP6V1E1	ENSG00000131100	Poly	8079.3	1	9.176e-8	1.336e-6
DYNC2LI1	ENSG00000138036	Poly	323	2.5	6.085e-8	1.348e-6
DDX18	ENSG00000088205	Poly	3658	1	9.294e-8	1.388e-6
URI1	ENSG00000105176	Poly	1668.7	0.9	9.651e-8	1.4e-6
POLR3E	ENSG00000058600	Poly	1946.5	1.2	9.703e-8	1.405e-6
RAB11FIP1	ENSG00000156675	Poly	1728.8	-1.5	9.713e-8	1.405e-6
POLR3E	ENSG00000058600	Poly	1946.5	1.2	9.703e-8	1.422e-6
POR	ENSG00000127948	Poly	1315.2	-1.9	9.981e-8	1.441e-6
PLCL1	ENSG00000115896	Poly	39.7	-3.7	3.589e-8	1.452e-6
FAM98A	ENSG00000119812	Poly	1020.3	1.4	1.011e-7	1.455e-6
NEK3	ENSG00000136098	Poly	153.5	-2.7	8.166e-8	1.455e-6
PIK3CB	ENSG00000051382	Poly	2066.8	1	1.018e-7	1.461e-6
PLEC	ENSG00000178209	Poly	533.8	2.9	6.757e-8	1.461e-6
DNAJC24	ENSG00000170946	Poly	289.8	1.5	8.257e-8	1.466e-6
ARPC5L	ENSG00000136950	Poly	1146.3	-1	1.011e-7	1.468e-6
MBD5	ENSG00000204406	Poly	1797.5	1.1	1.013e-7	1.469e-6
HMG20B	ENSG00000064961	Poly	1604.8	-1.1	1.031e-7	1.472e-6
BCDIN3D	ENSG00000186666	Poly	146.2	-1.3	8.379e-8	1.481e-6
C1orf115	ENSG00000162817	Poly	25.1	7.3	3.921e-8	1.487e-6
TMEM183A	ENSG00000163444	Poly	6745.2	0.7	1.045e-7	1.487e-6
TMEM183A	ENSG00000163444	Poly	6745.2	0.7	1.045e-7	1.487e-6
NASP	ENSG00000132780	Poly	8963.7	-1.1	1.088e-7	1.509e-6
RASSF5	ENSG00000266094	Poly	1390.3	1.8	1.079e-7	1.511e-6
CPT2	ENSG00000157184	Poly	706.3	-1	1.077e-7	1.526e-6
Z99129.4	ENSG00000279453	Poly	243.7	1.8	7.571e-8	1.549e-6
PWP1	ENSG00000136045	Poly	1595.2	0.9	1.121e-7	1.585e-6
ZFAND3	ENSG00000156639	Poly	4969.2	-1.2	9.406e-8	1.658e-6
CR2	ENSG00000117322	Poly	96.4	3.7	4.482e-8	1.685e-6
AMOTL1	ENSG00000166025	Poly	976.2	-1.4	1.196e-7	1.685e-6
BBS2	ENSG00000125124	Poly	384.5	2.2	8.359e-8	1.7e-6
DDX52	ENSG00000278053	Poly	6619.3	1.3	1.211e-7	1.701e-6
CREBL2	ENSG00000111269	Poly	2660.1	0.8	1.226e-7	1.744e-6
TRIM28	ENSG00000130726	Poly	17540.1	-0.9	1.273e-7	1.744e-6
FYB1	ENSG00000082074	Poly	409	3.8	1.01e-7	1.75e-6
CA3-AS1	ENSG00000253549	Poly	66.9	2.5	4.691e-8	1.75e-6
MAPRE3	ENSG00000084764	Poly	479.8	-2.1	1.021e-7	1.768e-6
AC079328.1	ENSG00000259394	Poly	13.2	2.9	4.751e-8	1.769e-6
PNP	ENSG00000198805	Poly	39254.1	1.3	1.271e-7	1.772e-6
PLTP	ENSG00000100979	Poly	1045.7	-2.1	1.275e-7	1.775e-6
PYGL	ENSG00000100504	Poly	1242.7	1.8	1.322e-7	1.838e-6
DCAF6	ENSG00000143164	Poly	10490.4	0.9	1.376e-7	1.865e-6
MIOS	ENSG00000164654	Poly	1134.4	1.1	1.324e-7	1.865e-6
OSBPL2	ENSG00000130703	Poly	2858.5	1.2	1.363e-7	1.89e-6
CNIH3	ENSG00000143786	Poly	96.8	2.1	4.482e-8	1.911e-6
AC007238.1	ENSG00000231043	Poly	62.1	2.2	5.393e-8	1.989e-6
SIAH1	ENSG00000196470	Poly	1148.3	-1.3	1.498e-7	2.043e-6
UBE2Q1	ENSG00000160714	Poly	3138.7	1	1.446e-7	2.053e-6
RPS6KA4	ENSG00000162302	Poly	900.7	-1.1	1.51e-7	2.055e-6
CAVIN1	ENSG00000177469	Poly	1706.1	2.8	1.939e-7	2.102e-6
ST3GAL5	ENSG00000115525	Poly	92.6	-4.7	4.996e-8	2.114e-6
THOC7	ENSG00000163634	Poly	2526.5	1.1	1.539e-7	2.114e-6
MAP1B	ENSG00000131711	Poly	43.9	-5	6.912e-8	2.132e-6
ODC1	ENSG00000115758	Poly	16616.1	1.6	1.564e-7	2.143e-6
FDXACB1	ENSG00000255561	Poly	182	1.7	1.152e-7	2.149e-6
RNF24	ENSG00000101236	Poly	6566.6	-1.7	1.626e-7	2.221e-6
MEF2B	ENSG00000213999	Poly	89.8	-3.9	5.277e-8	2.221e-6
LGALS8	ENSG00000116977	Poly	4393.1	-0.8	1.587e-7	2.227e-6
ATF6	ENSG00000118217	Poly	4083.3	-1	1.322e-7	2.249e-6
RPL5	ENSG00000122406	Poly	56271	-0.8	1.7e-7	2.261e-6
PCK2	ENSG00000100889	Poly	6072.7	-1.6	1.67e-7	2.27e-6
TBC1D22B	ENSG00000065491	Poly	10545.8	1.2	1.682e-7	2.284e-6
IK	ENSG00000113141	Poly	8665.9	0.8	1.637e-7	2.284e-6
BZW2	ENSG00000136261	Poly	3655.8	1.7	1.663e-7	2.318e-6
PIKFYVE	ENSG00000115020	Poly	6611.5	1.1	1.727e-7	2.337e-6
EIF4E2	ENSG00000135930	Poly	2647	0.8	1.743e-7	2.356e-6
EIF1B	ENSG00000114784	Poly	4781.8	1	1.747e-7	2.359e-6
CYTH2	ENSG00000105443	Poly	2224.6	-0.9	1.778e-7	2.398e-6
MLLT1	ENSG00000130382	Poly	1291.6	-1.4	1.787e-7	2.405e-6
SLC37A1	ENSG00000160190	Poly	441	-2.7	1.187e-7	2.405e-6
DDB1	ENSG00000167986	Poly	23173.3	1.2	1.84e-7	2.473e-6
SNCA	ENSG00000145335	Poly	34948.9	1.8	1.889e-7	2.536e-6
MAST4	ENSG00000069020	Poly	753.4	1.7	1.906e-7	2.557e-6
EVPL	ENSG00000167880	Poly	96	4	7.166e-8	2.562e-6
CHMP7	ENSG00000147457	Poly	1477.1	0.9	1.928e-7	2.581e-6
EIF1B-AS1	ENSG00000280739	Poly	67.7	2.2	6.401e-8	2.637e-6
ROCK2	ENSG00000134318	Poly	2353	1.1	1.987e-7	2.655e-6
CCDC171	ENSG00000164989	Poly	225.8	-2.6	1.329e-7	2.669e-6
HERC4	ENSG00000148634	Poly	1556.5	1	1.988e-7	2.686e-6
IFIT5	ENSG00000152778	Poly	951.2	1.7	2.08e-7	2.735e-6
UNC119B	ENSG00000175970	Poly	2384.3	1.1	2.119e-7	2.818e-6
NUDCD3	ENSG00000015676	Poly	2861.8	0.8	2.063e-7	2.819e-6
DLG1	ENSG00000075711	Poly	2883.8	1.2	2.134e-7	2.831e-6
TSPAN18	ENSG00000157570	Poly	193.2	2.7	1.407e-7	2.842e-6
A2ML1	ENSG00000166535	Poly	40.3	2.5	9.279e-8	2.85e-6
BRD3	ENSG00000169925	Poly	3502.7	-0.8	1.739e-7	2.872e-6
NLN	ENSG00000123213	Poly	822.7	2.3	2.201e-7	2.906e-6
ABL2	ENSG00000143322	Poly	591.4	-2.2	2.204e-7	2.906e-6
TYW1	ENSG00000198874	Poly	955	0.6	2.174e-7	2.906e-6
KIAA1191	ENSG00000122203	Poly	4191.2	1.2	2.235e-7	2.943e-6
USP14	ENSG00000101557	Poly	5255.8	0.9	2.259e-7	2.971e-6
AC005523.2	ENSG00000269604	Poly	5818.7	1.3	2.263e-7	2.974e-6
CHORDC1	ENSG00000110172	Poly	2499.3	1.6	2.246e-7	2.99e-6
CXCL2	ENSG00000081041	Poly	303.6	-5.1	1.594e-7	3.023e-6
DCAF8	ENSG00000132716	Poly	26487	1.4	2.322e-7	3.041e-6
CLN5	ENSG00000102805	Poly	637.4	1.2	2.368e-7	3.06e-6
SKP1	ENSG00000113558	Poly	12470.7	0.9	2.371e-7	3.099e-6
AC106795.2	ENSG00000249684	Poly	77.5	2.3	9.062e-8	3.156e-6
TXNDC11	ENSG00000153066	Poly	1705.4	-0.7	2.468e-7	3.218e-6
ENY2	ENSG00000120533	Poly	2302.9	0.8	2.483e-7	3.234e-6
UROS	ENSG00000188690	Poly	8850	-1.3	2.481e-7	3.321e-6
TNS3	ENSG00000136205	Poly	843	2	2.616e-7	3.401e-6
TERF2IP	ENSG00000166848	Poly	27557.9	1.2	2.635e-7	3.422e-6
THAP10	ENSG00000129028	Poly	44.2	-6.5	9.97e-8	3.446e-6
COX7CP1	ENSG00000235957	Poly	35.7	5.1	9.477e-8	3.446e-6
CAPN12	ENSG00000182472	Poly	183.6	3.3	2.16e-7	3.463e-6
SURF6	ENSG00000148296	Poly	1318.3	1.2	2.648e-7	3.472e-6
HSPBAP1	ENSG00000169087	Poly	356.3	1.6	2.176e-7	3.482e-6
SYNM	ENSG00000182253	Poly	17	-3.9	1.21e-7	3.51e-6
NAXE	ENSG00000163382	Poly	1086.1	1.4	2.728e-7	3.516e-6
ARHGEF1	ENSG00000076928	Poly	1946.4	-1.5	2.788e-7	3.582e-6
ARHGEF1	ENSG00000076928	Poly	1946.4	-1.5	2.788e-7	3.582e-6
RIDA	ENSG00000132541	Poly	752	2	2.82e-7	3.582e-6
CHRNE	ENSG00000108556	Poly	60.7	2.5	1.255e-7	3.622e-6
TMEM19	ENSG00000139291	Poly	602.9	1	2.792e-7	3.63e-6
IFI27L2	ENSG00000119632	Poly	228.1	2.9	2.092e-7	3.649e-6
RNF144B	ENSG00000137393	Poly	344.3	2.5	1.872e-7	3.649e-6
FTH1P12	ENSG00000213362	Poly	179	2.4	2.312e-7	3.66e-6
PBX1	ENSG00000185630	Poly	1526	1.8	2.928e-7	3.693e-6
KHNYN	ENSG00000100441	Poly	19850.6	1.3	2.902e-7	3.702e-6
C6orf62	ENSG00000112308	Poly	12796.7	1.4	2.909e-7	3.705e-6
LINC00654	ENSG00000205181	Poly	573	2.8	2.353e-7	3.705e-6
TIAF1	ENSG00000221995	Poly	140.1	2.4	1.092e-7	3.705e-6
ADORA2B	ENSG00000170425	Poly	225.7	-3.3	1.938e-7	3.751e-6
PHYKPL	ENSG00000175309	Poly	781	1.2	2.9560000000000003e-07	3.751e-6
CHMP4B	ENSG00000101421	Poly	4136.9	1	2.986e-7	3.781e-6
ADGRA3	ENSG00000152990	Poly	792.9	-1.9	2.986e-7	3.781e-6
MRPS17	ENSG00000239789	Poly	958.7	1.2	3.115e-7	3.995e-6
ARNTL	ENSG00000133794	Poly	194.7	-1.7	2.079e-7	4.003e-6
PXMP4	ENSG00000101417	Poly	574.9	-0.8	2.569e-7	4.011e-6
CCDC127	ENSG00000164366	Poly	849.1	1.2	3.137e-7	4.011e-6
BNIP3L	ENSG00000104765	Poly	63520.8	1.4	3.263e-7	4.015e-6
ST3GAL4	ENSG00000110080	Poly	695.5	-2.5	3.167e-7	4.041e-6
ZNF385A	ENSG00000161642	Poly	660.4	2.4	3.175e-7	4.048e-6
CCNDBP1	ENSG00000166946	Poly	27615.3	1.2	3.257e-7	4.085e-6
ARHGEF37	ENSG00000183111	Poly	2646	1.8	3.209e-7	4.085e-6
EREG	ENSG00000124882	Poly	841.7	-2.7	3.262e-7	4.088e-6
GTF3C6	ENSG00000155115	Poly	1266.1	1.2	3.27e-7	4.089e-6
ZNF581	ENSG00000171425	Poly	928.9	-1.2	3.268e-7	4.089e-6
FANCG	ENSG00000221829	Poly	1635.3	-1	3.28e-7	4.097e-6
DYNC2H1	ENSG00000187240	Poly	143.1	-2.1	2.683e-7	4.147e-6
IFIT1B	ENSG00000204010	Poly	32215	4.5	3.338e-7	4.161e-6
ATP2B1-AS1	ENSG00000271614	Poly	85.7	-2.1	1.193e-7	4.169e-6
FOXP4	ENSG00000137166	Poly	753.4	-1.7	3.364e-7	4.185e-6
CHPF	ENSG00000123989	Poly	126.3	-3.6	1.266e-7	4.197e-6
BBOF1	ENSG00000119636	Poly	2526.2	2	3.391e-7	4.21e-6
RPL29	ENSG00000162244	Poly	40039.1	-1	3.441e-7	4.268e-6
MBNL1-AS1	ENSG00000229619	Poly	527.9	2.8	2.408e-7	4.314e-6
FAM204A	ENSG00000165669	Poly	1562.1	1.1	3.448e-7	4.327e-6
ARRB1	ENSG00000137486	Poly	1615.1	1.6	3.514e-7	4.345e-6
GPR180	ENSG00000152749	Poly	497.8	-1.7	2.357e-7	4.378e-6
ABHD3	ENSG00000158201	Poly	432.2	-1.5	2.604e-7	4.378e-6
RPAP2	ENSG00000122484	Poly	576.1	1	2.615e-7	4.393e-6
